DISTRICT,SHEEPS NO.,SHEEP WOOL PRODUCED,YAK/NAK/CHAURI,Horses/Asses,BUFF,MUTTON,CHEVON,PORK ,CHICKEN,DUCK MEAT,TOTAL MEAT,MILKING  COWS NO.,MILKING  BUFFALOES NO.,COW MILK,BUFF MILK,TOTAL MILK PRODUCED,LAYING HEN,LAYING DUCK,HEN EGG,DUCK EGG,TOTAL EGG,AREA (Ha.),PROD. (Mt.),YIELD Kg/Ha,Rabbit
NAWALPARASI,11128.0,5837.0,0.0,16.0,3644.0,27.0,1455.0,348.0,1665.0,12.0,7151.0,25737.0,28668.0,18451.0,33596.0,52047.0,398655.0,11550.0,41068.0,878.0,41946.0,0.0,0.0,0.0,988.0
NEPAL,800658.0,588348.0,0.0,0.0,175005.0,2684.0,65583.0,23509.0,55041.0,237.0,322059.0,1026135.0,1355384.0,643806.0,1210441.0,0.0,12353515.0,180927.0,1294166.0,13906.0,1308072.0,143.0,127.0,890.0,0.0
NUWAKOT,19741.0,14667.0,920.0,950.0,4160.0,66.0,700.0,285.0,1140.0,3.0,6354.0,21350.0,38480.0,12234.0,18937.0,31171.0,292757.0,2824.0,26109.0,215.0,26324.0,0.0,0.0,0.0,0.0
OKHALDHUNGA,9105.0,6756.0,675.0,102.0,1497.0,31.0,685.0,751.0,294.0,0.0,3258.0,7930.0,11693.0,4555.0,5516.0,10071.0,59344.0,445.0,3296.0,33.0,3329.0,0.0,0.0,0.0,645.0
PALPA,2654.0,1971.0,0.0,0.0,2514.0,7.0,1043.0,305.0,376.0,2.0,4247.0,11434.0,23688.0,6552.0,21850.0,28402.0,96610.0,1790.0,9004.0,136.0,9140.0,0.0,0.0,0.0,888.0
PANCHTHAR,1338.0,994.0,1075.0,15.0,1496.0,4.0,940.0,730.0,248.0,1.0,3419.0,14854.0,11331.0,8511.0,9835.0,18346.0,63779.0,261.0,5581.0,19.0,5600.0,0.0,0.0,0.0,29.0
PARBAT,5491.0,4079.0,0.0,1043.0,1231.0,18.0,374.0,212.0,280.0,9.0,2124.0,5655.0,9281.0,3450.0,10161.0,13611.0,46229.0,8150.0,6252.0,525.0,6777.0,0.0,0.0,0.0,697.0
PARSA,144.0,106.0,0.0,0.0,2260.0,0.0,910.0,195.0,452.0,4.0,3821.0,11400.0,14424.0,6532.0,13755.0,20287.0,116045.0,3476.0,10210.0,264.0,10474.0,0.0,0.0,0.0,0.0
PYUTHAN,14667.0,10897.0,0.0,12.0,1594.0,55.0,522.0,245.0,465.0,0.0,2881.0,9641.0,18704.0,5524.0,12143.0,17667.0,111477.0,19.0,4025.0,1.0,4026.0,0.0,0.0,0.0,0.0
RAMECHAP,3763.0,2795.0,1653.0,0.0,2311.0,11.0,726.0,213.0,278.0,0.0,3539.0,12255.0,18055.0,4780.0,13521.0,18301.0,71247.0,317.0,6502.0,24.0,6526.0,0.0,0.0,0.0,74.0
RASUWA,5335.0,3964.0,128.0,0.0,325.0,18.0,198.0,18.0,52.0,0.0,611.0,1853.0,1901.0,1062.0,1650.0,2712.0,13267.0,275.0,942.0,20.0,962.0,0.0,0.0,0.0,581.0
RAUTAHAT,917.0,681.0,0.0,198.0,2672.0,3.0,984.0,153.0,452.0,4.0,4268.0,16493.0,22102.0,13162.0,15369.0,28531.0,116105.0,3651.0,7822.0,277.0,8099.0,0.0,0.0,0.0,0.0
ROLPA,15687.0,11655.0,0.0,129.0,1492.0,50.0,806.0,401.0,219.0,0.0,2968.0,14535.0,15159.0,5270.0,9110.0,14380.0,40092.0,91.0,3315.0,7.0,3322.0,0.0,0.0,0.0,0.0
RUKUM,28883.0,21460.0,62.0,1637.0,1654.0,47.0,760.0,389.0,293.0,1.0,3144.0,4910.0,11696.0,2912.0,12069.0,14981.0,75281.0,1445.0,2872.0,110.0,2982.0,0.0,0.0,0.0,3144.0
RUPANDEHI,4525.0,2512.0,0.0,142.0,4916.0,15.0,1724.0,355.0,1677.0,12.0,8699.0,17934.0,38402.0,12120.0,26493.0,38613.0,83033.0,10848.0,9758.0,824.0,10582.0,0.0,0.0,0.0,1567.0
SALYAN,17764.0,13198.0,0.0,278.0,3206.0,60.0,833.0,245.0,265.0,1.0,4610.0,13535.0,19579.0,5026.0,13490.0,18516.0,24348.0,757.0,3855.0,58.0,3913.0,0.0,0.0,0.0,0.0
SANKHUWASABHA,0.0,0.0,0.0,0.0,1646.0,41.0,958.0,509.0,302.0,1.0,3457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANKHUWASHAVA,12181.0,9050.0,3945.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15342.0,13367.0,6988.0,10589.0,17577.0,77512.0,465.0,5506.0,34.0,5540.0,0.0,0.0,0.0,313.0
SAPTARI,2033.0,1510.0,0.0,0.0,3867.0,7.0,2200.0,360.0,1301.0,15.0,7750.0,31790.0,41650.0,16654.0,25228.0,41882.0,158952.0,13498.0,18082.0,1060.0,19142.0,0.0,0.0,0.0,0.0
SARLAHI,1187.0,881.0,0.0,0.0,2779.0,3.0,1080.0,138.0,825.0,5.0,4830.0,19221.0,25019.0,15374.0,17825.0,33199.0,211593.0,4386.0,5498.0,333.0,5831.0,0.0,0.0,0.0,0.0
SINDHULI,315.0,234.0,0.0,0.0,2089.0,2.0,1003.0,367.0,792.0,2.0,4255.0,15745.0,14960.0,8024.0,5955.0,13979.0,102420.0,2265.0,7683.0,175.0,7858.0,0.0,0.0,0.0,0.0
SINDHUPALCHOK,7956.0,5911.0,4540.0,0.0,2457.0,27.0,1047.0,209.0,784.0,1.0,4525.0,7183.0,16901.0,6567.0,18456.0,25023.0,151540.0,1184.0,7500.0,90.0,7590.0,0.0,0.0,0.0,220.0
SIRAHA,941.0,747.0,0.0,0.0,3221.0,3.0,1286.0,308.0,809.0,4.0,5631.0,12434.0,23745.0,8125.0,25624.0,33749.0,196437.0,3200.0,17231.0,248.0,17479.0,0.0,0.0,0.0,0.0
SOLUKHUMBU,8461.0,6286.0,12235.0,1775.0,1123.0,28.0,416.0,428.0,166.0,0.0,2161.0,7819.0,13501.0,2948.0,5493.0,8441.0,42671.0,374.0,2345.0,28.0,2373.0,0.0,0.0,0.0,105.0
SUNSARI,3658.0,3152.0,0.0,57.0,4728.0,12.0,1769.0,884.0,820.0,23.0,8236.0,40311.0,38560.0,14964.0,27894.0,42858.0,204547.0,7228.0,29569.0,549.0,30118.0,0.0,0.0,0.0,1138.0
SURKHET,11608.0,8624.0,0.0,265.0,2456.0,24.0,1634.0,368.0,789.0,2.0,5273.0,19904.0,9317.0,11405.0,8419.0,19824.0,111258.0,2028.0,10525.0,162.0,10687.0,0.0,0.0,0.0,3816.0
SYANGJA,2401.0,1580.0,0.0,17.0,3177.0,40.0,1129.0,253.0,456.0,3.0,5058.0,5694.0,24818.0,6805.0,49275.0,56080.0,116948.0,2888.0,5846.0,219.0,6065.0,0.0,0.0,0.0,384.0
TANAHU,548.0,407.0,0.0,16.0,3347.0,2.0,752.0,152.0,225.0,1.0,4479.0,14942.0,30798.0,9678.0,32272.0,41950.0,91121.0,318.0,14352.0,24.0,14376.0,0.0,0.0,0.0,498.0
TAPLEJUNG,5777.0,3519.0,3465.0,543.0,607.0,31.0,491.0,443.0,172.0,0.0,1744.0,8123.0,4987.0,5389.0,4257.0,9645.0,15366.0,341.0,2420.0,25.0,2445.0,0.0,0.0,0.0,506.0
TERHATHUM,7083.0,5262.0,0.0,42.0,2358.0,24.0,399.0,486.0,116.0,1.0,3384.0,18880.0,13276.0,10089.0,11500.0,21589.0,26030.0,514.0,3000.0,39.0,3039.0,0.0,0.0,0.0,206.0
TOTAL,0.0,0.0,68831.0,55808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32213.0
UDAYAPUR,609.0,452.0,0.0,1302.0,3346.0,2.0,1430.0,818.0,578.0,2.0,6176.0,15867.0,26138.0,9092.0,22687.0,31779.0,148326.0,1474.0,50120.0,116.0,50236.0,0.0,0.0,0.0,1217.0
W.HILLS,97499.0,72231.0,0.0,0.0,27487.0,422.0,7995.0,3306.0,5548.0,38.0,44796.0,94009.0,225270.0,64947.0,230740.0,295687.0,1129538.0,21433.0,106718.0,1458.0,108176.0,0.0,0.0,0.0,0.0
W.MOUNTAIN,12257.0,9231.0,0.0,0.0,6.0,34.0,195.0,3.0,13.0,0.0,251.0,1561.0,49.0,894.0,35.0,929.0,3571.0,13.0,616.0,1.0,617.0,0.0,0.0,0.0,0.0
W.REGION,144089.0,101731.0,14823.0,7789.0,40476.0,561.0,12540.0,4127.0,9414.0,65.0,67183.0,154560.0,341323.0,105190.0,315616.0,420806.0,1745955.36,54256.0,163058.0,3963.0,167021.0,0.0,0.0,0.0,8915.0
W.TERAI,34333.0,20269.0,0.0,0.0,12983.0,105.0,4350.0,818.0,3853.0,27.0,22136.0,58990.0,116004.0,39349.0,84840.0,124189.0,612847.0,32810.0,55724.0,2504.0,58228.0,0.0,0.0,0.0,0.0
